ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
63,Hotel Spero,414.48,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.411684,37.7861496
64,Hotel Emblem San Francisco,411.77,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4098188,37.7891757
65,BEI Hotel San Francisco,410.05,Civic Center San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4139057,37.7778687
66,Hotel Caza Fishermans Wharf,407.69,Pier 39 San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.418013,37.806587
67,The Donatello,406.8,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4104163,37.7878653
68,"Staypineapple, An Elegant Hotel, Union Square",403.39,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4129982,37.7869422
69,Hyatt Place San Francisco Downtown,394.66,Oracle Park San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.3923413,37.7787156
70,The Grove Inn,393.77,Painted Ladies San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4312288,37.7769344
71,Hotel Zeppelin San Francisco,391.96,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4107556,37.7878278
72,"Hotel Del Sol, a Joie de Vivre Boutique Hotel",388.46,Union Street San Francisco,San Francisco,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4341135,37.7994118
73,The Cartwright Hotel - Union Square BW Premier Collection,381.16,San Francisco Museum of Modern Art San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4092132,37.7894522
74,Club Wyndham Canterbury,377.86,SHN Curran Theatre San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4127618,37.7888347
75,YOTEL San Francisco,373.94,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4119145,37.7801747
76,Holiday Inn Express San Francisco Union Square,372.73,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4086967,37.7862492
77,Comfort Inn by the Bay,368.44,Fishermans Wharf San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.424905,37.800934
78,Hotel Zephyr San Francisco,366.84,Pier 39 San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4138552,37.8076666
79,Hotel des Arts,361.23,Union Square Area San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4049487,37.790505
80,Holiday Inn Golden Gateway,359.47,Civic Center San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4219471,37.7898079
81,Hotel Triton,358.81,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4053992,37.7903361
82,SeaScape Inn - A FairBridge Hotel,356.82,Ocean Beach San Francisco,San Francisco,3,Average,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.5087967,37.7604484
83,Inn San Francisco,351.42,Mission Dolores Park San Francisco,San Francisco,5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4165306,37.7580944
84,Hotel Majestic,351.4,Cultural District - Japantown San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.425517,37.7872514
85,Wharf Inn,343.91,Fishermans Wharf San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4142291,37.8077557
86,King George Hotel - A Greystone Hotel,342.83,San Francisco Museum of Modern Art San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4092908,37.7867767
87,Warwick San Francisco,341.5,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4113976,37.7871218
88,Hotel Riu Plaza Fisherman's Wharf,340.62,Fishermans Wharf San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4134809,37.8074145
